======================================
Screen run started: Sun Jul  5 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-05 12:30
[auto_screener] NIFTY 500: 500 stocks (live, cache updated)
[auto_screener] Current universe: 8 stocks
[auto_screener] Fetching data for 500 stocks (rate-limited to 55 req/min)...
[kite_fetcher] NIVABUPA.NS: 403 trading days loaded (2024-11-14 → 2026-07-03)
[kite_fetcher] AEGISVOPAK.NS: 270 trading days loaded (2025-06-02 → 2026-07-03)
[kite_fetcher] ZENTEC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TORNTPHARM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TRAVELFOOD.NS: 240 trading days loaded (2025-07-14 → 2026-07-03)
[kite_fetcher] ALKEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ASIANPAINT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LTF.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HONAUT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SUNDARMFIN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HINDALCO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IOB.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] MFSL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TECHM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ASAHIINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GMRAIRPORT.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ATGL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SAIL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATAELXSI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IIFL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] COFORGE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KPRMILL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BRITANNIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HEROMOTOCO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] VMM.NS: 381 trading days loaded (2024-12-18 → 2026-07-03)
[kite_fetcher] DOMS.NS: 628 trading days loaded (2023-12-20 → 2026-07-03)
[kite_fetcher] JBCHEPHARM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] EMAMILTD.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] HAVELLS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] AARTIIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] INDHOTEL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LTM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NATIONALUM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] TATATECH.NS: 642 trading days loaded (2023-11-30 → 2026-07-03)
[kite_fetcher] ZYDUSLIFE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CUB.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SUNTV.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SIEMENS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] OBEROIRLTY.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RELIANCE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[auto_screener]   250/500 attempted, 215 valid, 0 skipped (0.0%)
[kite_fetcher] BAJAJ-AUTO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ABCAPITAL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ABBOTINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BDL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IDEA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] SHREECEM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ELGIEQUIP.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GVT&D.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GLAXO.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CGCL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] DCMSHRIRAM.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] DATAPATTNS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] 3MINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] PIDILITIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] BIOCON.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ICICIPRULI.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] JMFINANCIL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] NAVINFLUOR.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ADANIGREEN.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] IRCTC.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KAYNES.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KAJARIACER.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] KFINTECH.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RAINBOW.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CASTROLIND.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] GICRE.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CCL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] AWL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] CANBK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] FEDERALBNK.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] LINDEINDIA.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] ANURAS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] RVNL.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
[kite_fetcher] APARINDS.NS: 867 trading days loaded (2023-01-02 → 2026-07-03)
