======================================
Screen run started: Wed Jul  1 12:30:01 UTC 2026
======================================

[auto_screener] Starting screen — 2026-07-01 12:30
[auto_screener] NIFTY 500: 500 stocks
[auto_screener] Current universe: 9 stocks
[auto_screener] Fetching data for 500 stocks...
[kite_fetcher] EMMVEE.NS: 151 trading days loaded (2025-11-18 → 2026-06-30)
[kite_fetcher] WOCKPHARMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ASAHIINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] 3MINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SUZLON.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] PARADEEP.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] IRB.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] TORNTPOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] HINDCOPPER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ABBOTINDIA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] JKTYRE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] AARTIIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] JINDALSAW.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] DALBHARAT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CAPLIPOINT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] ADANIENSOL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] SAREGAMA.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] JSL.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LGEINDIA.NS: 174 trading days loaded (2025-10-14 → 2026-06-30)
[kite_fetcher] ENDURANCE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] MCX.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] OFSS.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] URBANCO.NS: 192 trading days loaded (2025-09-17 → 2026-06-30)
[kite_fetcher] PHOENIXLTD.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] INTELLECT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CGPOWER.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] CHAMBLFERT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] COFORGE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BSE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BAJFINANCE.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] BAJAJFINSV.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] NESTLEIND.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] INDIAMART.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] LT.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[auto_screener]   250/500 fetched, 219 valid
[kite_fetcher] GMDCLTD.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] OLAELEC.NS: 467 trading days loaded (2024-08-09 → 2026-06-30)
[kite_fetcher] ABSLAMC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
[kite_fetcher] KEC.NS: 864 trading days loaded (2023-01-02 → 2026-06-30)
