date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-06-15,TMPV.NS,HOLD,396.5000,,,61073.31,99252.61,-0.7474,,372.2759,,
2026-06-15,WHIRLPOOL.NS,HOLD,795.0000,,,61073.31,99252.61,-0.7474,,,,
2026-06-15,SIEMENS.NS,HOLD,3599.1000,,,61073.31,99252.61,-0.7474,,3366.0000,,
2026-06-15,BAJAJ-AUTO.NS,HOLD,9936.0000,,,61073.31,99252.61,-0.7474,,9724.2596,,
2026-06-15,CUMMINSIND.NS,HOLD,5751.0000,,,61073.31,99252.61,-0.7474,,,,
2026-06-15,HCLTECH.NS,HOLD,1122.3000,,,61073.31,99252.61,-0.7474,,,,
2026-06-16,TMPV.NS,HOLD,393.1500,,,61073.31,99221.91,-0.7781,,372.3770,,
2026-06-16,WHIRLPOOL.NS,HOLD,785.9000,,,61073.31,99221.91,-0.7781,,,,
2026-06-16,SIEMENS.NS,HOLD,3635.0000,,,61073.31,99221.91,-0.7781,,3366.0000,,
2026-06-16,BAJAJ-AUTO.NS,HOLD,9945.0000,,,61073.31,99221.91,-0.7781,,9730.5032,,
2026-06-16,CUMMINSIND.NS,HOLD,5727.0000,,,61073.31,99221.91,-0.7781,,,,
2026-06-16,HCLTECH.NS,HOLD,1160.4000,,,61073.31,99221.91,-0.7781,,,,
2026-06-17,TMPV.NS,RISK_EXIT,361.6500,361.4692,44,76953.97,98143.97,-1.8560,CHANDELIER,372.3770,15,
2026-06-17,WHIRLPOOL.NS,HOLD,790.0000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,SIEMENS.NS,HOLD,3722.0000,,,76953.97,98143.97,-1.8560,,3366.0000,,
2026-06-17,BAJAJ-AUTO.NS,HOLD,10024.0000,,,76953.97,98143.97,-1.8560,,9743.5770,,
2026-06-17,CUMMINSIND.NS,HOLD,5825.5000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,HCLTECH.NS,HOLD,1165.2000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,BOSCHLTD.NS,HOLD,39095.0000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,COLPAL.NS,HOLD,2030.0000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,ANURAS.NS,HOLD,1299.0000,,,76953.97,98143.97,-1.8560,,,,
2026-06-17,HEROMOTOCO.NS,HOLD,5021.0000,,,76953.97,98143.97,-1.8560,,,,
